                                          POR        JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
23188SAN DIEGO,CA                    193907-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23272SAN FRANCISCO,CA                192101-201711   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23190SANTA BARBARA,CA                194101-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23273SANTA MARIA,CA                  194801-201810   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23237STOCKTON,CA                     194810-201811   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23061ALAMOSA,CO                      194801-201812   4.5   4.3   5.3   4.1   1.3   0.0   0.0   0.0   0.1   2.6   4.0   5.2  31.4
93037COLORADO SPRINGS,CO             194804-201812   5.1   4.9   8.0   6.0   1.1   0.0   0.0   0.0   0.8   2.8   4.6   5.2  38.5
23062DENVER,CO                       194801-201812   7.4   7.5  11.8   7.9   1.6   0.0   0.0   0.0   1.3   3.9   8.0   7.6  57.0
23066GRAND JUNCTION,CO               190001-201812   5.9   3.8   2.9   0.9   0.1   0.0   0.0   0.0   0.0   0.4   2.3   5.2  21.5
93058PUEBLO,CO                       195407-201812   5.8   4.5   5.8   3.5   0.3   0.0   0.0   0.0   0.5   1.2   3.9   5.0  30.5
94702BRIDGEPORT,CT                   194807-201812   8.4   9.0   5.5   0.7   0.0   0.0   0.0   0.0   0.0   0.1   0.7   5.4  29.8
14740HARTFORD,CT                     194901-201812  13.2  12.9   9.0   1.3   0.0   0.0   0.0   0.0   0.0   0.3   1.8   9.8  48.3
13781WILMINGTON,DE                   194801-201812   6.6   6.8   3.2   0.2   0.0   0.0   0.0   0.0   0.0   0.0   0.7   3.3  20.8
93738WASHINGTON DULLES,DC            196004-201812   7.0   7.2   3.5   0.2   0.0   0.0   0.0   0.0   0.0   0.0   0.8   3.7  22.4
13743WASHINGTON NAT'L,DC             194507-201812   5.3   5.4   2.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.6   2.7  16.2
12834DAYTONA BEACH,FL                194801-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12835FORT MYERS,FL                   191306-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12816GAINESVILLE,FL                  196005-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
13889JACKSONVILLE,FL                 193805-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12836KEY WEST,FL                     194801-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12839MIAMI,FL                        194801-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12815ORLANDO,FL                      195206-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
13899PENSACOLA,FL                    194807-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
93805TALLAHASSEE,FL                  194003-201812   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1
12842TAMPA,FL                        193902-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12843VERO BEACH,FL                   194407-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12844WEST PALM BEACH,FL              193812-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
13873ATHENS,GA                       194512-201810   0.9   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.2   2.4
13874ATLANTA,GA                      193001-201812   0.9   0.5   0.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.2   2.0
03820AUGUSTA,GA                      194612-201812   0.3   0.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   1.0
93842COLUMBUS,GA                     194801-201812   0.1   0.3   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
03813MACON,GA                        194812-201812   0.3   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.9
03822SAVANNAH,GA                     194801-201812   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.3
21504HILO,HI                         194910-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
22521HONOLULU,HI                     194910-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
22516KAHULUI,HI                      191506-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
22536LIHUE,HI                        195002-201812   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
24131BOISE,ID                        194001-201812   6.3   3.4   1.6   0.5   0.1   0.0   0.0   0.0   0.0   0.1   2.1   5.9  20.0
24149LEWISTON,ID                     194801-201812   5.1   2.5   1.2   0.0   0.0   0.0   0.0   0.0   0.0   0.1   1.6   4.3  14.8
