                                          POR        JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
12815ORLANDO,FL                      195206-201812     0     0     *     3    11    18    23    23    16     3     *     *    98
13899PENSACOLA,FL                    194807-201812     0     0     *     *     3    14    19    18     9     1     0     0    63
93805TALLAHASSEE,FL                  194003-201812     0     0     *     1    10    19    23    22    14     2     0     0    91
12842TAMPA,FL                        193902-201812     0     0     *     1     9    17    20    22    16     3     *     0    87
12843VERO BEACH,FL                   194211-201812     0     0     *     1     4    10    17    18     8     2     *     0    61
12844WEST PALM BEACH,FL              193807-201812     0     *     1     2     4    12    20    22    12     2     *     *    75
13873ATHENS,GA                       194406-201812     0     0     0     *     3    12    18    15     6     *     0     0    55
13874ATLANTA,GA                      193001-201812     0     0     0     *     2    11    14    12     4     *     0     0    44
03820AUGUSTA,GA                      194404-201812     0     0     *     1     7    17    23    20    10     1     *     0    79
93842COLUMBUS,GA                     194801-201812     0     0     0     *     6    17    22    21    10     1     0     0    78
03813MACON,GA                        194812-201812     0     0     *     1     8    18    23    22    11     1     0     0    85
03822SAVANNAH,GA                     194801-201812     0     0     *     1     6    15    22    19     8     1     0     0    72
21504HILO,HI                         194910-201812     *     *     *     0     *     *     *     *     *     *     *     *     1
22521HONOLULU,HI                     194006-201812     0     0     0     *     *     1     4     8     7     3     *     0    24
22516KAHULUI,HI                      195404-201812     *     *     *     *     1     2     4     6     7     4     1     *    24
22536LIHUE,HI                        195002-201812     0     0     0     0     0     0     0     *     *     *     0     0     0
24131BOISE,ID                        194001-201812     0     0     0     *     1     6    20    17     4     *     0     0    48
24149LEWISTON,ID                     194801-201812     0     0     0     *     1     5    17    15     4     0     0     0    42
24156POCATELLO,ID                    193901-201812     0     0     0     0     *     4    16    13     2     *     0     0    35
94846CHICAGO,IL                      195811-201812     0     0     0     *     1     4     6     4     2     *     0     0    17
14923MOLINE,IL                       194306-201812     0     0     0     *     1     5     8     6     2     *     0     0    23
14842PEORIA,IL                       194305-201812     0     0     0     *     1     5     8     6     2     *     0     0    23
94822ROCKFORD,IL                     195101-201812     0     0     0     *     1     4     6     4     2     *     0     0    15
93822SPRINGFIELD,IL                  190101-201812     0     0     *     *     2     7    12     8     4     *     0     0    33
93817EVANSVILLE,IN                   194801-201812     0     0     0     *     2     9    14    12     5     *     0     0    42
14827FORT WAYNE,IN                   193908-201812     0     0     0     0     1     4     6     4     2     *     0     0    16
93819INDIANAPOLIS,IN                 194801-201812     0     0     0     0     *     4     7     5     2     *     0     0    19
14848SOUTH BEND,IN                   189312-201812     0     0     0     *     1     4     7     4     2     *     0     0    17
14933DES MOINES,IA                   194507-201812     0     0     *     *     1     5     9     7     2     *     0     0    24
94908DUBUQUE,IA                      195102-201812     0     0     0     *     *     2     3     2     1     *     0     0     8
14943SIOUX CITY,IA                   194801-201812     0     0     *     *     2     6    10     7     2     *     0     0    27
94910WATERLOO,IA                     195003-201812     0     0     0     *     1     4     6     4     2     *     0     0    16
13984CONCORDIA,KS                    188505-201812     0     0     *     *     2     9    17    14     6     1     0     0    50
13985DODGE CITY,KS                   194801-201812     0     0     *     1     4    14    21    19     8     1     *     0    67
23065GOODLAND,KS                     189507-201812     0     0     *     *     2    10    19    16     7     1     0     0    54
13996TOPEKA,KS                       194608-201812     0     0     0     *     2     8    16    14     5     1     0     0    47
03928WICHITA,KS                      195312-201812     0     0     0     *     2    13    21    19     8     1     0     0    64
03889JACKSON,KY                      198101-201812     0     0     0     *     *     2     5     5     2     0     0     0    14
93820LEXINGTON,KY                    187211-201812     0     0     0     *     1     5     8     7     3     *     0     0    24
93821LOUISVILLE,KY                   194801-201812     0     0     0     *     1     8    13    11     4     *     0     0    38
03816PADUCAH,KY                      194909-201812     0     0     0     *     1    10    16    13     5     *     0     0    46
13970BATON ROUGE,LA                  193001-201812     0     0     *     *     6    20    24    23    14     2     0     0    89
03937LAKE CHARLES,LA                 196111-201812     0     0     *     *     3    16    23    23    13     2     0     0    80
12916NEW ORLEANS,LA                  194801-201812     0     0     0     *     4    17    21    21    10     1     0     0    75
13957SHREVEPORT,LA                   193907-201812     0     0     *     *     5    19    26    25    15     2     0     0    93
14607CARIBOU,ME                      193902-201812     0     0     0     0     *     *     1     *     *     0     0     0     2
14764PORTLAND,ME                     194012-201812     0     0     0     *     *     1     2     1     *     0     0     0     5
93721BALTIMORE,MD                    193907-201812     0     0     0     *     2     7    12     8     3     *     0     0    31
14753BLUE HILL,MA                    189301-201812     0     0     0     *     *     1     3     2     *     0     0     0     7
14739BOSTON,MA                       193601-201812     0     0     0     *     1     3     5     3     1     *     0     0    13
94746WORCESTER,MA                    194806-201812     0     0     0     *     *     1     2     1     *     0     0     0     3
94849ALPENA,MI                       191611-201812     0     0     0     *     *     2     3     2     1     *     0     0     8
94847DETROIT,MI                      195812-201812     0     0     0     0     *     3     5     3     1     *     0     0    12
14826FLINT,MI                        194805-201812     0     0     0     0     *     2     4     2     1     0     0     0     9
94860GRAND RAPIDS,MI                 196312-201812     0     0     0     0     *     2     5     2     1     0     0     0    10
94814HOUGHTON LAKE,MI                196407-201812     0     0     0     0     *     1     2     1     *     0     0     0     4
14836LANSING,MI                      194801-201812     0     0     0     0     *     2     4     2     1     0     0     0    10
14840MUSKEGON,MI                     189606-201812     0     0     0     0     *     1     1     1     *     0     0     0     3
14847SAULT STE. MARIE,MI             193101-201812     0     0     0     0     0     *     1     *     *     0     0     0     2
14913DULUTH,MN                       194801-201812     0     0     0     0     *     *     1     1     *     0     0     0     2
14918INTERNATIONAL FALLS,MN          190607-201812     0     0     0     *     *     1     2     1     *     0     0     0     4
14922MINNEAPOLIS-ST.PAUL,MN          193805-201812     0     0     0     *     1     3     6     4     1     *     0     0    15
14925ROCHESTER,MN                    189303-201812     0     0     0     *     1     3     4     3     1     *     0     0    11
14926SAINT CLOUD,MN                  193911-201812     0     0     0     *     1     2     4     3     1     *     0     0    10
03940JACKSON,MS                      196308-201812     0     0     0     *     5    18    24    23    12     1     0     0    84
13865MERIDIAN,MS                     194406-201812     0     0     *     *     6    18    24    23    12     1     0     0    85
93862TUPELO,MS                       196212-201812     0     0     0     *     3    15    22    20     9     1     0     0    70
03945COLUMBIA,MO                     196911-201812     0     0     0     *     *     6    14    12     4     *     0     0    36
03947KANSAS CITY,MO                  197210-201812     0     0     0     *     1     7    14    12     4     *     0     0    37
13994ST. LOUIS,MO                    193804-201812     0     0     0     *     2     9    15    13     5     *     0     0    45
13995SPRINGFIELD,MO                  194008-201812     0     0     0     *     *     6    15    14     4     *     0     0    41
24033BILLINGS,MT                     194801-201812     0     0     0     *     *     3    13    11     2     *     0     0    30
94008GLASGOW,MT                      194801-201812     0     0     0     *     1     3    10    10     2     *     0     0    25
24143GREAT FALLS,MT                  193704-201812     0     0     0     0     *     2     9     7     1     *     0     0    20
94012HAVRE,MT                        196102-201812     0     0     0     *     *     3    11    10     2     *     0     0    27
24144HELENA,MT                       193804-201812     0     0     0     0     *     2     9     8     1     0     0     0    20
24146KALISPELL,MT                    189606-201812     0     0     0     0     *     1     5     4     *     0     0     0    11
24153MISSOULA,MT                     194801-201812     0     0     0     0     *     2    11     9     1     0     0     0    23
14935GRAND ISLAND,NE                 193804-201812     0     0     *     *     2     8    14    11     5     *     0     0    40
14939LINCOLN,NE                      194801-201812     0     0     *     *     2     9    15    11     5     *     0     0    42
14941NORFOLK,NE                      194510-201812     0     0     *     1     1     6    11     8     3     *     0     0    32
24023NORTH PLATTE,NE                 194801-201812     0     0     *     *     1     6    14    11     5     *     0     0    37
14942OMAHA,NE                        194801-201812     0     0     *     *     2     7    13     9     3     *     0     0    34
24028SCOTTSBLUFF,NE                  189301-201812     0     0     0     *     1     8    17    14     5     *     0     0    45
24032VALENTINE,NE                    194801-201812     0     0     0     *     1     6    14    12     5     *     0     0    40
24121ELKO,NV                         189001-201812     0     0     0     0     *     6    21    16     3     *     0     0    46
23154ELY,NV                          189301-201812     0     0     0     0     *     3    12     6     *     0     0     0    22
23169LAS VEGAS,NV                    194810-201812     0     0     *     3    16    26    31    30    23     6     0     0   135
23185RENO,NV                         193703-201812     0     0     0     *     1     8    22    18     6     *     0     0    55
24128WINNEMUCCA,NV                   187707-201812     0     0     0     *     1     7    21    18     4     *     0     0    51
14745CONCORD,NH                      193904-201812     0     0     0     *     1     3     5     3     1     *     0     0    12
14755MT. WASHINGTON,NH               194802-201812     0     0     0     0     0     0     0     0     0     0     0     0     0
93730ATLANTIC CITY,NJ                195807-201812     0     0     0     *     1     4     8     5     1     *     0     0    19
14734NEWARK,NJ                       189301-201812     0     0     0     *     1     5     9     6     2     *     0     0    23
23050ALBUQUERQUE,NM                  193103-201812     0     0     0     0     2    18    23    16     4     *     0     0    64
23051CLAYTON,NM                      189602-201812     0     0     0     *     1    10    15    11     3     *     0     0    41
23009ROSWELL,NM                      194901-201812     0     *     *     2    11    23    25    23    11     2     0     0    99
14735ALBANY,NY                       193806-201812     0     0     0     *     *     2     5     3     1     *     0     0    11
04725BINGHAMTON,NY                   195106-201812     0     0     0     0     0     *     1     1     *     0     0     0     2
14733BUFFALO,NY                      193805-201812     0     0     0     *     *     1     2     1     *     0     0     0     4
04781ISLIP,NY                        196310-201812     0     0     0     *     *     1     3     2     *     0     0     0     7
94728NEW YORK Central Park,NY        186901-201812     0     0     0     *     1     3     6     4     1     *     0     0    15
94789NEW YORK JFK AP,NY              194808-201812     0     0     0     *     *     2     4     3     1     *     0     0    11
14732NEW YORK Laguardia AP,NY        193911-201812     0     0     0     *     1     4     7     5     1     *     0     0    17
14768ROCHESTER,NY                    192601-201812     0     0     0     *     *     2     4     2     1     *     0     0    10
14771SYRACUSE,NY                     193805-201812     0     0     0     *     *     2     4     2     1     0     0     0    10
03812ASHEVILLE,NC                    194601-201812     0     0     0     0     *     2     5     3     *     0     0     0    10
93729CAPE HATTERAS,NC                195703-201812     0     0     0     0     *     1     2     2     *     *     0     0     6
13881CHARLOTTE,NC                    193907-201812     0     0     *     *     2    10    15    13     5     *     0     0    46
13723GREENSBORO-WNSTN-SALM-HGHPT,NC  192811-201812     0     0     *     *     1     8    12     9     3     *     0     0    34
13722RALEIGH,NC                      194406-201812     0     0     *     1     2    10    15    12     4     *     0     0    44
13748WILMINGTON,NC                   194801-201812     0     0     0     1     2     9    16    12     4     *     0     0    45
24011BISMARCK,ND                     194801-201812     0     0     0     *     1     3     8     8     2     *     0     0    22
14914FARGO,ND                        189106-201812     0     0     0     *     1     2     5     4     1     *     0     0    13
14916GRAND FORKS,ND                  194104-201812     0     0     0     *     1     2     4     4     1     *     0     0    12
94014WILLISTON,ND                    189401-201812     0     0     0     *     1     2     8     7     2     *     0     0    20
14895AKRON,OH                        194807-201812     0     0     0     0     *     2     4     2     1     0     0     0     9
93814CINCINNATI,OH                   194801-201812     0     0     0     0     1     4     8     7     3     *     0     0    23
14820CLEVELAND,OH                    193805-201812     0     0     0     0     *     3     5     3     1     *     0     0    13
14821COLUMBUS,OH                     194801-201812     0     0     0     0     1     4     7     5     2     *     0     0    19
93815DAYTON,OH                       194801-201812     0     0     0     0     *     3     6     4     2     0     0     0    16
14891MANSFIELD,OH                    194812-201812     0     0     0     0     *     1     3     2     1     0     0     0     7
94830TOLEDO,OH                       195501-201812     0     0     0     0     1     4     6     4     1     *     0     0    16
14852YOUNGSTOWN,OH                   193408-201812     0     0     0     *     *     2     4     2     1     0     0     0     9
13967OKLAHOMA CITY,OK                194801-201812     0     *     *     1     3    13    23    22     9     1     0     0    71
13968TULSA,OK                        193812-201812     0     *     *     1     3    14    23    22    10     1     0     0    73
94224ASTORIA,OR                      195302-201812     0     0     0     0     0     0     *     *     *     0     0     0     0
94185BURNS,OR                        197503-201812     0     0     0     0     *     2    13    10     2     *     0     0    27
24221EUGENE,OR                       193806-201812     0     0     0     0     *     1     7     6     2     *     0     0    16
24225MEDFORD,OR                      192801-201812     0     0     0     *     2     7    18    17     9     1     0     0    54
24155PENDLETON,OR                    192801-201812     0     0     0     *     1     4    15    12     3     *     0     0    36
24229PORTLAND,OR                     193804-201812     0     0     0     *     *     1     4     4     2     *     0     0    12
24232SALEM,OR                        189301-201812     0     0     0     *     *     2     6     6     2     *     0     0    15
24235SEXTON SUMMIT,OR                194801-201812     0     0     0     0     *     *     1     1     *     0     0     0     3
14737ALLENTOWN,PA                    194801-201812     0     0     0     *     1     3     7     4     1     *     0     0    16
14860ERIE,PA                         192601-201812     0     0     0     0     *     1     2     1     *     0     0     0     4
14711MIDDLETOWN/HARRISBURG,PA        194101-201812     0     0     0     *     1     5     9     5     2     *     0     0    22
13739PHILADELPHIA,PA                 194801-201812     0     0     0     *     1     5    10     7     2     0     0     0    25
94823PITTSBURGH,PA                   194801-201812     0     0     0     0     *     2     4     2     1     0     0     0     9
14777AVOCA,PA                        194901-201812     0     0     0     *     *     2     4     2     1     0     0     0    10
14778WILLIAMSPORT,PA                 194805-201812     0     0     0     *     1     3     6     3     1     *     0     0    15
14765PROVIDENCE,RI                   194801-201812     0     0     0     *     1     2     4     3     1     0     0     0    10
13782CHARLESTON,SC                   189301-201812     0     0     *     *     2     6    10     9     3     *     0     0    30
13883COLUMBIA,SC                     194801-201812     0     0     *     2     7    17    23    20     9     1     *     0    79
03870GREENVILLE-SPARTANBURG,SC       196211-201812     0     0     0     *     2     9    15    11     3     *     0     0    41
14929ABERDEEN,SD                     189301-201812     0     0     0     *     1     4    10     8     3     *     0     0    26
14936HURON,SD                        188107-201812     0     0     0     *     1     4    10     8     3     *     0     0    27
24090RAPID CITY,SD                   194805-201812     0     0     0     *     1     4    12    12     4     *     0     0    32
14944SIOUX FALLS,SD                  193201-201812     0     0     0     *     1     4     9     6     2     *     0     0    23
13877BRISTOL-JHNSN CTY-KNGSPRT,TN    193710-201812     0     0     0     *     *     4     7     6     2     *     0     0    19
13882CHATTANOOGA,TN                  193804-201812     0     0     0     *     2    11    17    16     6     *     0     0    52
13891KNOXVILLE,TN                    191002-201812     0     0     0     *     1     8    12    10     4     *     0     0    36
13893MEMPHIS,TN                      194001-201812     0     0     0     *     3    15    22    19     9     1     0     0    68
13897NASHVILLE,TN                    194801-201812     0     0     0     *     2    11    18    15     6     *     0     0    52
03841OAK RIDGE,TN                    194808-201812     0     0     0     *     1     7    12    11     4     *     0     0    35
13962ABILENE,TX                      194801-201812     0     *     1     3     9    20    27    25    13     3     *     0   101
23047AMARILLO,TX                     194707-201812     0     0     *     1     5    15    21    18     7     1     0     0    68
13958AUSTIN,TX                       193806-201812     *     *     1     2     9    22    28    28    18     5     *     *   114
12919BROWNSVILLE,TX                  189812-201812     *     *     1     4    11    24    28    29    20     7     1     *   125
12924CORPUS CHRISTI,TX               194801-201812     *     *     1     2     7    22    28    28    18     6     1     *   112
13960DALLAS,TX                       193908-201812     0     *     *     1     7    21    28    27    16     3     *     0   103
22010DEL RIO,TX                      195105-201812     *     *     2     7    16    26    28    29    20     5     *     *   134
23044EL PASO,TX                      193804-201812     0     0     *     2    13    26    27    24    13     2     0     0   107
12923GALVESTON,TX                    194608-201812     0     0     0     *     1     7    18    20     7     *     0     0    53
12960HOUSTON,TX                      196906-201812     0     *     *     1     8    21    27    26    17     4     0     0   104
23042LUBBOCK,TX                      194701-201812     0     *     *     2     9    19    23    20     9     1     *     0    84
23023MIDLAND-ODESSA,TX               193006-201812     0     *     1     4    13    22    26    25    13     3     *     0   106
