RANKING OF CITIES BASED ON % ANNUAL POSSIBLE SUNSHINE IN DESCENDING 
ORDER FROM MOST TO LEAST AVERAGE POSSIBLE SUNSHINE 
                                          
SOURCE:  http://www.ncdc.noaa.gov/oa/climate/online/ccd/pctpos.txt
DATA THROUGH 2004

CITY, STATE                       ANNUAL % AVG POSSIBLE SUNSHINE        NO. OF YEARS OF DATA
SAULT STE. MARIE, MI    			47%                             55
SEATTLE SEA-TAC AP, WA    			47%                             30
GRAND RAPIDS, MI         			46%                             36
GUAM, PC                    			46%                             39
SYRACUSE, NY              			46%                             53
PITTSBURGH, PA                   		45%                             49
SEATTLE C.O., WA            			43%                             31
NOME, AK                    			42%                             40
PAGO PAGO, AMER SAMOA, PC 			42%                             34
ANCHORAGE, AK           			41%                             40
HILO, HI                		        41%                             52
POHNPEI, MICRONESIA, PC       			41%                             44
ELKINS, WV                        	        40%                             11
MT. WASHINGTON, NH       			33%                             64
QUILLAYUTE, WA               			33%                             30
JUNEAU, AK                  			30%                             33
